aluno_id,Aluno,Sala,Unidade,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 14::Four Corners H1::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners H1,Unidade Virtual (aulas aos sábados),0.8571428571428571,0.8571428571428571,0.7142857142857143,0.9047619047619048,0.9214285714285714,0
Estudante 14::Four Corners H2::Campinas,Estudante 14,Four Corners H2,Campinas,0.07142857142857142,0.0,0.07142857142857142,0.3333333333333333,0.08571428571428572,1
Estudante 14::Four Corners H2::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners H2,Unidade Virtual (aulas aos sábados),0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7619047619047619,0.8285714285714285,0
Estudante 14::Four Corners H3::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners H3,Unidade Virtual (aulas aos sábados),0.75,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.8107142857142857,0
Estudante 14::Four Corners I1::Diadema,Estudante 14,Four Corners I1,Diadema,0.5,0.7857142857142857,0.35714285714285715,0.8095238095238095,0.6964285714285714,2
Estudante 14::Four Corners I1::Unidade Virtual (aulas aos domingos),Estudante 14,Four Corners I1,Unidade Virtual (aulas aos domingos),0.7142857142857143,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7535714285714284,2
Estudante 14::Four Corners I1::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners I1,Unidade Virtual (aulas aos sábados),0.35714285714285715,0.5,0.35714285714285715,0.6666666666666667,0.5035714285714286,3
Estudante 14::Four Corners I2::Campinas,Estudante 14,Four Corners I2,Campinas,0.0,0.14285714285714285,0.0,0.3333333333333333,0.11428571428571428,1
Estudante 14::Four Corners I2::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners I2,Unidade Virtual (aulas aos sábados),0.0,0.07142857142857142,0.0,0.38095238095238093,0.08928571428571429,1
Estudante 14::Four Corners I3::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners I3,Unidade Virtual (aulas aos sábados),0.8571428571428571,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.9357142857142857,0
Estudante 14::Four Corners J1::Rio de Janeiro,Estudante 14,Four Corners J1,Rio de Janeiro,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.619047619047619,0.7928571428571428,2
Estudante 14::Four Corners J1::Unidade Virtual (aulas aos domingos),Estudante 14,Four Corners J1,Unidade Virtual (aulas aos domingos),0.5,0.7857142857142857,0.5714285714285714,0.8095238095238095,0.7392857142857142,2
Estudante 14::Four Corners J1::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners J1,Unidade Virtual (aulas aos sábados),0.5,0.8571428571428571,0.5714285714285714,0.5476190476190476,0.7321428571428571,2
Estudante 14::Four Corners J1::Vila Sônia (manhã),Estudante 14,Four Corners J1,Vila Sônia (manhã),0.0,0.07142857142857142,0.0,0.38095238095238093,0.08928571428571429,1
Estudante 14::Four Corners J2::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners J2,Unidade Virtual (aulas aos sábados),0.35714285714285715,0.42857142857142855,0.2857142857142857,0.5238095238095238,0.43571428571428567,3
Estudante 14::Four Corners J3::Unidade Virtual (aulas aos sábados),Estudante 14,Four Corners J3,Unidade Virtual (aulas aos sábados),0.6428571428571429,0.7857142857142857,0.42857142857142855,0.8571428571428571,0.7607142857142858,2
Estudante 15::Four Corners A1::Campinas,Estudante 15,Four Corners A1,Campinas,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7619047619047619,0.8285714285714285,0
Estudante 15::Four Corners A1::Capão Redondo,Estudante 15,Four Corners A1,Capão Redondo,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 15::Four Corners A1::Diadema,Estudante 15,Four Corners A1,Diadema,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 15::Four Corners A1::Jabaquara,Estudante 15,Four Corners A1,Jabaquara,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.5714285714285714,0.3178571428571429,1
Estudante 15::Four Corners A1::Rio de Janeiro,Estudante 15,Four Corners A1,Rio de Janeiro,0.2857142857142857,0.6428571428571429,0.07142857142857142,0.7142857142857143,0.49642857142857144,3
Estudante 15::Four Corners A1::Tatuapé,Estudante 15,Four Corners A1,Tatuapé,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.619047619047619,0.7178571428571427,2
Estudante 15::Four Corners A1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners A1,Unidade Virtual (aulas aos domingos),0.0,0.8571428571428571,0.0,0.5,0.46071428571428574,3
Estudante 15::Four Corners A1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners A1,Unidade Virtual (aulas aos sábados),0.7142857142857143,0.8571428571428571,0.5,0.8571428571428571,0.8285714285714285,0
Estudante 15::Four Corners A1::Vila Sônia (manhã),Estudante 15,Four Corners A1,Vila Sônia (manhã),0.0,0.6428571428571429,0.0,0.6666666666666666,0.3892857142857143,3
Estudante 15::Four Corners A1::Vila Sônia (tarde),Estudante 15,Four Corners A1,Vila Sônia (tarde),0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 15::Four Corners A2::Mauá,Estudante 15,Four Corners A2,Mauá,0.35714285714285715,0.9285714285714286,0.5,0.7619047619047619,0.7392857142857142,2
Estudante 15::Four Corners A2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners A2,Unidade Virtual (aulas aos sábados),0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7619047619047619,0.8392857142857143,0
Estudante 15::Four Corners A3::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners A3,Unidade Virtual (aulas aos sábados),0.0,0.2857142857142857,0.0,0.42857142857142855,0.19285714285714284,1
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.8095238095238095,0.8357142857142856,0
Estudante 15::Four Corners B1::Capão Redondo,Estudante 15,Four Corners B1,Capão Redondo,0.0,0.21428571428571427,0.07142857142857142,0.42857142857142855,0.17500000000000002,1
Estudante 15::Four Corners B1::Diadema,Estudante 15,Four Corners B1,Diadema,0.7857142857142857,0.9285714285714286,0.6071428571428571,0.8571428571428571,0.9035714285714286,0
Estudante 15::Four Corners B1::Jabaquara,Estudante 15,Four Corners B1,Jabaquara,0.42857142857142855,0.9285714285714286,0.2857142857142857,0.7619047619047619,0.7178571428571429,2
Estudante 15::Four Corners B1::Mauá,Estudante 15,Four Corners B1,Mauá,0.5714285714285714,0.7857142857142857,0.5,0.7619047619047619,0.7392857142857142,2
Estudante 15::Four Corners B1::Rio de Janeiro,Estudante 15,Four Corners B1,Rio de Janeiro,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8095238095238095,0.8892857142857142,0
Estudante 15::Four Corners B1::Tatuapé,Estudante 15,Four Corners B1,Tatuapé,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.42857142857142855,0.20357142857142854,1
Estudante 15::Four Corners B1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners B1,Unidade Virtual (aulas aos domingos),0.21428571428571427,0.2857142857142857,0.14285714285714285,0.5238095238095238,0.3,1
Estudante 15::Four Corners B1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners B1,Unidade Virtual (aulas aos sábados),0.5714285714285714,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.7035714285714285,2
