Aluno,Unidade,Sala,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação
Estudante 13,Campinas,Four Corners A1,7,2025-04-05,0.0,1.0,0.0,3
Estudante 13,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,0.0,3
Estudante 13,Campinas,Four Corners A1,9,2025-04-26,1.0,0.0,0.0,1
Estudante 13,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,0.0,3
Estudante 13,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 13,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,0.0,1
Estudante 13,Campinas,Four Corners A1,13,2025-06-07,1.0,0.0,0.0,1
Estudante 13,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 13,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 14,Campinas,Four Corners A1,1,2025-02-08,0.0,0.0,0.0,1
Estudante 14,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,0.0,3
Estudante 14,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 14,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,11,2025-05-24,0.5,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 14,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 14,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 14,Campinas,Four Corners A1,15,,0.0,0.0,0.0,1
Estudante 15,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 15,Campinas,Four Corners A1,2,2025-02-15,1.0,0.0,1.0,1
Estudante 15,Campinas,Four Corners A1,3,2025-02-22,1.0,0.0,1.0,1
Estudante 15,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 15,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,9,2025-04-26,0.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 15,Campinas,Four Corners A1,12,2025-05-31,1.0,0.0,1.0,3
Estudante 15,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,1
Estudante 15,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 15,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 16,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,0
Estudante 16,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,0.0,1
Estudante 16,Campinas,Four Corners A1,3,2025-02-22,0.0,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,4,2025-03-08,1.0,0.0,1.0,1
Estudante 16,Campinas,Four Corners A1,5,2025-03-15,0.5,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,6,2025-03-29,0.5,1.0,1.0,1
Estudante 16,Campinas,Four Corners A1,7,2025-04-05,0.0,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,8,2025-04-12,0.5,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,9,2025-04-26,0.5,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,10,2025-05-17,0.5,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 16,Campinas,Four Corners A1,13,2025-06-07,0.0,1.0,0.0,3
Estudante 16,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 16,Campinas,Four Corners A1,15,,0.0,0.0,0.0,0
Estudante 2,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 2,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 2,Campinas,Four Corners A1,7,2025-04-05,1.0,0.0,1.0,1
Estudante 2,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,11,2025-05-24,0.0,0.0,1.0,1
Estudante 2,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 2,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 2,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 2,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 3,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 3,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,6,2025-03-29,1.0,0.0,1.0,1
Estudante 3,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,0.0,3
Estudante 3,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,0.0,3
Estudante 3,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 3,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 3,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 3,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 4,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 4,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 4,Campinas,Four Corners A1,7,2025-04-05,1.0,0.0,1.0,1
Estudante 4,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,10,2025-05-17,1.0,0.0,1.0,1
Estudante 4,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 4,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 4,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 4,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 5,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 5,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,3,2025-02-22,1.0,0.0,1.0,1
Estudante 5,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,0.0,1
Estudante 5,Campinas,Four Corners A1,7,2025-04-05,0.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,11,2025-05-24,1.0,0.0,1.0,1
Estudante 5,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 5,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3
Estudante 5,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 5,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 6,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 6,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,0.0,3
Estudante 6,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 6,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 6,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 6,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,0.5,1
Estudante 6,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 6,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,0.0,3
Estudante 6,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 6,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,0.0,3
Estudante 6,Campinas,Four Corners A1,11,2025-05-24,0.0,0.0,1.0,1
Estudante 6,Campinas,Four Corners A1,12,2025-05-31,1.0,0.0,1.0,3
Estudante 6,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,1
Estudante 6,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 6,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 7,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 7,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,6,2025-03-29,1.0,0.0,1.0,1
Estudante 7,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,8,2025-04-12,1.0,0.0,1.0,1
Estudante 7,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3
Estudante 7,Campinas,Four Corners A1,11,2025-05-24,1.0,0.0,1.0,1
Estudante 7,Campinas,Four Corners A1,12,2025-05-31,1.0,0.0,1.0,3
Estudante 7,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,1
Estudante 7,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 7,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3
Estudante 8,Campinas,Four Corners A1,1,2025-02-08,0.0,0.0,0.0,1
Estudante 8,Campinas,Four Corners A1,2,2025-02-15,1.0,0.0,0.0,1
Estudante 8,Campinas,Four Corners A1,3,2025-02-22,0.0,1.0,1.0,3
Estudante 8,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,0.0,3
Estudante 8,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 8,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1
Estudante 8,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,0.0,3
Estudante 8,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 8,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,0.0,3
Estudante 8,Campinas,Four Corners A1,10,2025-05-17,0.0,0.0,1.0,1
Estudante 8,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 8,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,0.0,1
Estudante 8,Campinas,Four Corners A1,13,2025-06-07,0.0,1.0,0.0,3
Estudante 8,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 8,Campinas,Four Corners A1,15,,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,1,2025-02-08,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,0.0,3
Estudante 9,Campinas,Four Corners A1,3,2025-02-22,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,4,2025-03-08,0.0,1.0,1.0,3
Estudante 9,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,0.5,3
Estudante 9,Campinas,Four Corners A1,6,2025-03-29,0.0,1.0,1.0,1
Estudante 9,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 9,Campinas,Four Corners A1,8,2025-04-12,0.0,1.0,1.0,3
Estudante 9,Campinas,Four Corners A1,9,2025-04-26,0.5,1.0,0.0,3
Estudante 9,Campinas,Four Corners A1,10,2025-05-17,0.0,1.0,0.0,3
Estudante 9,Campinas,Four Corners A1,11,2025-05-24,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,12,2025-05-31,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,13,2025-06-07,0.0,1.0,0.0,3
Estudante 9,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1
Estudante 9,Campinas,Four Corners A1,15,,0.0,0.0,0.0,1
Estudante 1,Campinas,Four Corners B1,1,2025-02-08,0.0,1.0,0.0,3
Estudante 1,Campinas,Four Corners B1,2,2025-02-15,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,3,2025-02-22,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,4,2025-03-08,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,5,2025-03-15,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,6,2025-03-29,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,7,2025-04-05,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,8,2025-04-12,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,9,2025-04-26,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,10,2025-05-17,0.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,11,2025-05-24,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,12,2025-05-31,1.0,1.0,1.0,3
Estudante 1,Campinas,Four Corners B1,13,2025-06-07,1.0,0.0,0.0,3
Estudante 1,Campinas,Four Corners B1,14,,0.0,0.0,0.0,1
Estudante 1,Campinas,Four Corners B1,15,,0.0,0.0,0.0,3
