cluster,prep_score,attendance_score,homework_score,interaction_score,engajamento
0,0.7837132416913172,0.8232991125804768,0.7294675482860623,0.8237341221506874,0.8750522011484252
1,0.08816595945308815,0.13083451202263083,0.05987741631305987,0.40688354549740685,0.15833333333333333
2,0.6008022774327123,0.7316252587991718,0.5537008281573499,0.6965579710144928,0.7246959109730848
3,0.2952064546748932,0.654485049833887,0.24584717607973422,0.66453092865053,0.5319292833412435
